epoch,cpsnr
0,11.1977
1,11.1038
2,10.579
3,10.1673
4,10.104
5,10.1448
6,10.5333
7,9.8105
8,9.483
9,9.2185
10,9.4274
11,9.4527
12,9.883
13,9.3492
14,9.2436
15,9.3926
16,9.2625
17,9.372
18,8.8262
19,8.8597
20,8.8115
21,8.8795
22,9.0837
23,8.9893
24,8.8677
25,8.8176
26,8.6659
27,8.7478
28,8.7626
29,8.7511
