epoch,cpsnr
0,10.1285
1,9.538
2,9.1299
3,8.8288
4,8.2893
5,8.1114
6,7.706
7,8.0185
8,8.6117
9,8.2417
10,9.1522
11,7.6424
12,8.2102
13,7.5993
14,7.4426
0,8.3888
1,7.3241
2,7.4101
3,7.3709
4,7.9329
5,7.7244
6,8.2254
7,7.5389
8,7.7698
9,7.3782
10,7.1449
11,7.2624
12,6.8921
