epoch,cpsnr
0,7.6756
1,8.9903
2,9.7755
3,10.3901
4,10.8017
5,11.0989
6,11.2976
7,11.4597
8,11.788
9,11.8528
10,11.6757
11,11.5671
12,11.4964
13,11.5172
14,11.3879
15,11.3751
16,11.5834
17,11.2161
18,11.2519
19,11.1612
20,10.9104
21,11.0167
22,10.9788
23,10.8995
24,10.852
25,10.8146
26,10.7416
27,10.7626
28,10.6764
29,10.6256
